                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.2352,                 2.6138,                 3.8625,                 1.2268,                0.79791,                0.20227,                0.23481,                0.16403,                0.77875,                0.19432,                0.21204,                0.13148,                 1.2279,                 2.3471,                 2.2275,                 1.1856,              0.0001512,              0.0001512,              0.0001512
                      2,                 1.1924,                 2.1952,                  2.578,                 1.1773,                0.43331,                0.38824,                 0.3928,                0.28628,                0.40753,                0.35954,                0.36399,                0.22739,                 1.1639,                 2.2181,                 1.8213,                 1.1433,             0.00030257,             0.00030257,             0.00030257
                      3,                 1.1596,                 2.1383,                 2.1218,                 1.1607,                0.54357,                 0.5044,                0.47208,                0.35787,                0.52373,                0.48808,                0.45226,                0.28886,                 1.1271,                 2.2724,                 1.6606,                 1.1246,             0.00045276,             0.00045276,             0.00045276
                      4,                 1.1229,                 2.0298,                 1.8764,                 1.1492,                0.67575,                0.49027,                 0.5204,                0.39342,                0.65962,                0.47744,                0.50393,                0.32543,                 1.1335,                 2.1622,                 1.6038,                 1.1265,             0.00045101,             0.00045101,             0.00045101
                      5,                 1.0834,                 1.9685,                 1.6489,                 1.1282,                0.57926,                0.57624,                0.54452,                0.41345,                0.57212,                0.56104,                0.53113,                0.34255,                 1.0811,                 2.0894,                 1.4766,                 1.1002,             0.00044792,             0.00044792,             0.00044792
                      6,                 1.0575,                 1.9198,                 1.5286,                 1.1122,                 0.7116,                0.54818,                0.58374,                0.45508,                0.65597,                0.57283,                0.56794,                0.39789,                 1.0629,                 2.1226,                 1.3631,                 1.1054,             0.00044398,             0.00044398,             0.00044398
                      7,                 1.0244,                 1.8715,                 1.4066,                 1.0946,                0.66653,                0.55115,                0.57008,                0.42607,                0.66227,                0.54111,                0.56382,                0.36814,                  1.085,                 2.1167,                 1.4325,                 1.0959,             0.00043918,             0.00043918,             0.00043918
                      8,                 1.0117,                  1.832,                 1.3242,                 1.0838,                0.62842,                0.57829,                0.58726,                0.44711,                0.62461,                0.57338,                0.58792,                0.38869,                 1.0512,                 2.0461,                  1.365,                 1.0755,             0.00043356,             0.00043356,             0.00043356
                      9,                0.98101,                 1.7959,                 1.2763,                 1.0691,                0.73346,                0.60843,                0.63928,                0.50171,                0.74354,                0.60725,                0.63605,                0.42866,                 1.0289,                 2.2268,                 1.2452,                 1.0572,             0.00042714,             0.00042714,             0.00042714
                     10,                0.96281,                 1.7616,                 1.2169,                 1.0612,                0.66566,                0.61706,                0.62908,                0.48277,                0.66074,                0.58692,                0.61683,                0.41634,                 1.0513,                  2.107,                 1.2603,                 1.0678,             0.00041994,             0.00041994,             0.00041994
